id,name,hotel_id,cat_id,cat_desc,items,hotel,status,created,updated
6,Meal,29,2,,NULL,NULL,1,2018-01-05 15:44:00,NULL
7,Starters,2,10,,NULL,NULL,1,2018-01-05 15:44:12,NULL
8,Chef's Platter,2,9,,NULL,NULL,1,2018-01-05 15:44:27,NULL
9,Tandoori Starters,2,5,,NULL,NULL,1,2018-01-05 16:43:02,NULL
10,Tandoori Main Meals,2,11,,NULL,NULL,1,2018-01-05 16:43:27,NULL
13,Munchy Box,18,1,,NULL,NULL,1,2018-01-13 11:32:28,NULL
14,Meal,18,2,,NULL,NULL,1,2018-01-13 11:34:19,NULL
15,Starters & Quickies,18,3,,NULL,NULL,1,2018-01-13 11:35:32,NULL
16,Pakora Party,18,4,,NULL,NULL,1,2018-01-13 11:35:51,NULL
17,Tandoori Starters,18,5,,NULL,NULL,1,2018-01-13 11:36:05,NULL
18,Accompaniments,18,6,,NULL,NULL,1,2018-01-13 11:36:20,NULL
19,Chef's Platter,18,9,,NULL,NULL,1,2018-01-13 11:37:29,NULL
20,Popular Indian Dishes,18,8,,NULL,NULL,1,2018-01-13 11:37:44,NULL
21,Fast Food,18,42,,NULL,NULL,1,2018-01-13 11:37:59,NULL
22,Juicy,18,43,,NULL,NULL,1,2018-01-13 11:43:49,NULL
23,Biryani,18,25,,NULL,NULL,1,2018-01-13 11:45:16,NULL
24,Burgers,18,30,,NULL,NULL,1,2018-01-13 11:48:32,NULL
25,Chips,18,45,,NULL,NULL,1,2018-01-13 11:48:47,NULL
26,Kebabs,18,0,,NULL,NULL,1,2018-01-13 11:50:55,NULL
27,Pizza,18,31,,NULL,NULL,1,2018-01-13 11:51:14,NULL
28,Munchy Box2,2,64,,NULL,NULL,1,2018-02-05 23:57:39,NULL
29,Sides,47,65,Sides,NULL,NULL,1,2018-02-06 01:26:26,NULL
30,Grilled Chicken,47,66,GRILLED CHICKEN,NULL,NULL,0,2018-02-06 01:57:36,NULL
35,Dips,47,69,,NULL,NULL,1,2018-02-06 03:05:09,NULL
36,Guru's Junior Meals,47,70,,NULL,NULL,1,2018-02-06 03:24:03,NULL
37,Ice cream,47,71,,NULL,NULL,1,2018-02-06 03:30:53,NULL
38,Cakes,47,72,,NULL,NULL,1,2018-02-06 04:22:32,NULL
41,Biriyaniiii,2,79,,NULL,NULL,1,2018-02-06 05:07:46,NULL
42,Vegeterian,47,73,,NULL,NULL,1,2018-02-07 01:44:36,NULL
43,Pittas,47,74,,NULL,NULL,0,2018-02-07 02:15:28,NULL
44,Wraps,47,29,,NULL,NULL,0,2018-02-07 02:21:21,NULL
45,Pulled Sandwich,47,75,,NULL,NULL,0,2018-02-07 02:34:30,NULL
46,Guru Box,47,76,,NULL,NULL,0,2018-02-07 02:43:08,NULL
47,Burgers,47,30,,NULL,NULL,1,2018-02-07 02:48:28,NULL
48,Gourmet Burger,47,77,,NULL,NULL,1,2018-02-07 02:56:23,NULL
49,Soft Drinks,47,78,,NULL,NULL,1,2018-02-07 03:02:18,NULL
50,Salad,47,67,,NULL,NULL,3,2018-04-03 05:50:28,NULL
51,Fgfvgvggvv,2,80,Vgfggv,NULL,NULL,1,2018-07-17 11:12:23,NULL
52,Littee chokha,47,81,Pure veg,NULL,NULL,1,2018-07-17 11:32:41,NULL
53,Sundal,2,82,Smosa,NULL,NULL,1,2018-07-17 12:08:07,NULL
54,Sundal,47,82,Smosa,NULL,NULL,1,2018-07-24 07:03:02,NULL
55,pratha,2,83,paratha,NULL,NULL,1,2018-08-01 22:55:43,NULL
56,south indian meal,49,84,Indian,NULL,NULL,1,2018-08-05 23:38:33,NULL
57,Biriyaniiii,47,79,,NULL,NULL,3,2018-08-06 23:00:54,NULL
60,Guru Favourites,47,86,,NULL,NULL,1,2018-08-06 23:46:40,NULL
61,Salads,47,68,,NULL,NULL,1,2018-08-07 01:09:15,NULL
63,Guru Sides,47,68,,NULL,NULL,1,2018-08-07 01:11:18,NULL
64,Classic Burger,50,87,Classic Burger,NULL,NULL,1,2018-08-09 00:21:04,NULL
65,Vegetarian,50,88,,NULL,NULL,1,2018-08-09 00:31:35,NULL
66,Biriyaniiii,51,79,,NULL,NULL,1,2018-08-14 09:32:44,NULL
68,Flame Grilled,47,90,Flame Grilled,NULL,NULL,1,2018-08-23 06:12:52,NULL
69,aaaa,34,91,aaaa,NULL,NULL,1,2018-08-23 06:15:12,NULL
70,Guru's Junior Meals,47,70,Guru's Junior Meals,NULL,NULL,1,2018-08-24 06:00:35,NULL
71,Guru's Side,47,92,Guru's Side,NULL,NULL,1,2018-08-24 06:34:38,NULL
72,uttapam,53,93,,NULL,NULL,1,2018-10-05 06:07:35,NULL
73,Hot Beverage,53,94,Hot Beverage,NULL,NULL,1,2018-10-22 11:29:35,NULL
74,Hot Beverage,51,94,Hot Beverage,NULL,NULL,1,2018-10-22 11:29:51,NULL
75,Popular,47,95,Popular,NULL,NULL,1,2018-11-26 23:05:18,NULL
76,aaaa,53,91,aaaa,NULL,NULL,1,2018-11-27 02:39:41,NULL
77,Guru's Junior Meals,47,70,Sides Go large for Â£1.50 extra  Add cheese for Â£1.00 extra  Add peri salt or jerk salt for 30p extra,NULL,NULL,1,2018-11-30 02:12:45,NULL
78,Vej. Pulao,53,96,Vej. Pulao,NULL,NULL,1,2019-01-18 02:51:56,NULL
79,Popular,53,95,,NULL,NULL,1,2019-01-22 00:22:01,NULL